[2026-06-20T00:57:14.582Z] GET https://pubmed.ncbi.nlm.nih.gov/42319824/ → pending (?ms, ?B)
[2026-06-20T00:57:25.833Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/icon-dot-gov.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.833Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/icon-https.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.833Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/ncbi-logos/nih-nlm-ncbi--white.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.833Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/search.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.833Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/person.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.834Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/expand_less.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.834Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/expand_more.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.835Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/usa-icons/close.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.835Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/usa-icons-bg/search--white.svg → pending (?ms, ?B)
[2026-06-20T00:57:25.840Z] GET https://cdn.ncbi.nlm.nih.gov/core/pinger/pinger.js → pending (?ms, ?B)
[2026-06-20T00:57:25.840Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/assets/base-Cp_Il6gk.js → pending (?ms, ?B)
[2026-06-20T00:57:25.840Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/assets/vendor-Co8Vdmw2.js → pending (?ms, ?B)
[2026-06-20T00:57:25.840Z] GET https://cdn.ncbi.nlm.nih.gov/core/jquery/jquery-3.6.0.min.js → pending (?ms, ?B)
[2026-06-20T00:57:27.032Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/usa-icons/expand_more.svg → 200 (199ms, 145B)
[2026-06-20T00:57:27.032Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/fonts/source-sans-pro/sourcesanspro-regular-webfont.woff2 → pending (?ms, ?B)
[2026-06-20T00:57:27.032Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/fonts/source-sans-pro/sourcesanspro-bold-webfont.woff2 → pending (?ms, ?B)
[2026-06-20T00:57:27.032Z] GET https://cdn.ncbi.nlm.nih.gov/pmc/pd-medc-pmc-cloudpmc-viewer/production/674d4f95/var/data/static/img/usa-icons/launch.svg → pending (?ms, ?B)
[2026-06-20T00:57:27.425Z] GET https://www.googletagmanager.com/gtm.js?id=GTM-PC9B6M3&l=pingerDataLayer → 200 (353ms, 398193B)
[2026-06-20T00:57:27.425Z] GET https://pmc.ncbi.nlm.nih.gov/stat?HTTP_REFERER=&SELF_URL=https%3A%2F%2Fpmc.ncbi.nlm.nih.gov%2Farticles%2FPMC42319824%2F&browserheight=720&browserwidth=1280&colorDepth=24&connection_effectivetype=4g&connection_type=&cookieSize=33&cookieenabled=true&is_browser_supported=true&jsevent=render&jsloadtime=&jsperf_basePage=31&jsperf_connect=469&jsperf_dns=9&jsperf_navTimingNetworkMS=856&jsperf_navTimingRedirectCount=0&jsperf_navTimingType=navigate&jsperf_navType=0&jsperf_redirectCount=0&jsperf_ttfb=347&jsrendertime=&language_code=en-US&myncbi_signed_in=false&ncbi_algorithm=&ncbi_app=cloudpmc-viewer&ncbi_db=pmc&ncbi_featured_srcdb=&ncbi_nwds=&ncbi_pcid=&ncbi_pdid=exception&ncbi_phid=5521D2D3A35E411304D2D3001554B901.m_1&ncbi_program=&ncbi_timesinceload=4&ncbi_timesincenavstart=2437&pagename=cloudpmc-viewer%3Apmc%3Aexception%3ANONE&pinger_in_iframe=false&screenavailheight=720&screenavailwidth=1280&screenheight=720&screenwidth=1280&server=pmc.ncbi.nlm.nih.gov&sgSource=native&sgversion=0.42.0&sgversion_hotfix=0&sgversion_major=0&sgversion_minor=42&spa_index=0 → 200 (352ms, 43B)
[2026-06-20T00:57:27.760Z] GET https://cdn.ncbi.nlm.nih.gov/core/alerts/alerts.js?_=1781917047741 → 200 (228ms, 19702B)
[2026-06-20T00:57:27.770Z] GET https://pmc.ncbi.nlm.nih.gov/stat?browserheight=720&browserwidth=1280&colorDepth=24&connection_effectivetype=4g&connection_type=&cookieSize=127&cookieenabled=true&is_browser_supported=true&jsevent=domready&language_code=en-US&myncbi_signed_in=false&ncbi_algorithm=&ncbi_app=cloudpmc-viewer&ncbi_db=pmc&ncbi_featured_srcdb=&ncbi_nwds=&ncbi_pcid=&ncbi_pdid=exception&ncbi_phid=5521D2D3A35E411304D2D3001554B901.m_1&ncbi_program=&ncbi_timesinceload=352&ncbi_timesincenavstart=2784&pagename=cloudpmc-viewer%3Apmc%3Aexception%3ANONE&pinger_in_iframe=false&screenavailheight=720&screenavailwidth=1280&screenheight=720&screenwidth=1280&server=pmc.ncbi.nlm.nih.gov&sgSource=native&sgversion=0.42.0&sgversion_hotfix=0&sgversion_major=0&sgversion_minor=42&spa_index=0 → 200 (350ms, 43B)
[2026-06-20T00:57:27.818Z] GET https://www.googletagmanager.com/gtag/js?id=G-DP2X732JSX&l=pingerDataLayer&cx=c&gtm=4e66h0 → 200 (187ms, 440597B)
[2026-06-20T00:57:27.819Z] GET https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=HHS&subagency=NCBI%20-%20ncbi.nlm.nih.gov&sitetopic=NCBI%20Pinger%200.39.3&siteplatform=NCBI%20Pinger%200.39.3 → 200 (417ms, 29714B)
[2026-06-20T00:57:27.989Z] GET https://cdn.ncbi.nlm.nih.gov/ncbi-media/alerts/alerts.json → pending (?ms, ?B)
[2026-06-20T00:57:28.070Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-DP2X732JSX&gtm=45je66h0v884263385z8847342615za20gzb847342615zd847342615&_p=1781917047415&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1830711058.1781917048&frm=0&pscdl=noapi&rcb=16&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.7.4&uaw=0&ul=en-us&_s=1&tag_exp=115938465~115938468~118395335~119027224~119392696~119392704~119456239~119456247~119534187&dl=https%3A%2F%2Fpmc.ncbi.nlm.nih.gov%2Farticles%2FPMC42319824%2F&sid=1781917048&sct=1&seg=0&dt=HTTP%20404%20%5BNot%20Found%5D&en=page_view&_fv=1&_nsi=1&_ss=1&ep.ncbi_app=cloudpmc-viewer&ep.ncbi_db=pmc&ep.ncbi_pdid=exception&ep.ncbi_signed_in=NO&ep.ncbi_app_db_pdid=cloudpmc-viewer%3Apmc%3Aexception&ep.debug_event=&ep.content_group=cloudpmc-viewer%3Apmc%3Aexception&ep.content_group2=cloudpmc-viewer&ep.content_group3=pmc&ep.content_group4=exception&ep.ncbi_pcid=(not%20set)&tfd=3058 → pending (?ms, ?B)
[2026-06-20T00:57:28.241Z] GET https://www.googletagmanager.com/gtag/js?id=G-CSLL4ZEK4L → pending (?ms, ?B)
[2026-06-20T00:57:28.633Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-CSLL4ZEK4L&gtm=45je66h0v9131934939za200zd9131934939&_p=1781917048237&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=1830711058.1781917048&frm=0&pscdl=noapi&rcb=5&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=15.7.4&uaw=0&ul=en-us&_s=1&tag_exp=115938465~115938468~119027224~119392696~119392704~119456239~119456247&dl=https%3A%2F%2Fpmc.ncbi.nlm.nih.gov%2Fvpv404%2Farticles%2Fpmc42319824%2F&dt=HTTP%20404%20%5BNot%20Found%5D&dr=&sid=1781917048&sct=1&seg=0&_tu=wA&en=page_view&_fv=1&_ss=1&_ee=1&ep.agency=HHS&ep.subagency=NCBI%20-%20NCBI.NLM.NIH.GOV&ep.site_topic=ncbi%20pinger%200.39.3&ep.site_platform=ncbi%20pinger%200.39.3&ep.script_source=https%3A%2F%2Fdap.digitalgov.gov%2Funiversal-federated-analytics-min.js&ep.version=20250702%20v8.7%20-%20ga4&ep.protocol=https%3A&ep.using_parallel_tracker=no&ep.hostname_dimension=pmc.ncbi.nlm.nih.gov&tfd=3647 → 204 (115ms, ?B)
[2026-06-20T00:57:28.634Z] GET https://zndikywqsjiuwn0q5-nlmenterprise.siteintercept.qualtrics.com/SIE/?Q_ZID=ZN_dikYWqsjiUWN0Q5 → 200 (494ms, 10998B)
[2026-06-20T00:57:29.130Z] GET https://siteintercept.qualtrics.com/dxjsmodule/881.d239a4f9da069111bd06.chunk.js?Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BRANDID=pmc.ncbi.nlm.nih.gov → pending (?ms, ?B)
[2026-06-20T00:57:29.130Z] GET https://siteintercept.qualtrics.com/dxjsmodule/941.a09c5b36bb369f224ce3.chunk.js?Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BRANDID=pmc.ncbi.nlm.nih.gov → pending (?ms, ?B)
[2026-06-20T00:57:29.605Z] POST https://siteintercept.qualtrics.com/WRSiteInterceptEngine/Targeting.php?Q_ZoneID=ZN_dikYWqsjiUWN0Q5&Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web → 200 (300ms, 85584B)
[2026-06-20T00:57:29.916Z] GET https://siteintercept.qualtrics.com/dxjsmodule/CoreModule.js?Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BRANDID=nlmenterprise → 200 (268ms, 111678B)
[2026-06-20T00:57:30.212Z] GET https://siteintercept.qualtrics.com/dxjsmodule/147.1bd41725cb680c56bdbc.chunk.js?Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BRANDID=nlmenterprise → pending (?ms, ?B)
[2026-06-20T00:57:30.212Z] GET https://siteintercept.qualtrics.com/dxjsmodule/308.5b6f220b63d2a0e69fe1.chunk.js?Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BRANDID=nlmenterprise → pending (?ms, ?B)
[2026-06-20T00:57:30.212Z] GET https://siteintercept.qualtrics.com/dxjsmodule/FeedbackButtonModule.js?Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BRANDID=nlmenterprise → pending (?ms, ?B)
[2026-06-20T00:57:30.212Z] GET https://siteintercept.qualtrics.com/WRSiteInterceptEngine/Asset.php?Module=SI_0Spg2GvEznjmU3I&Version=71&Q_ORIGIN=https://pmc.ncbi.nlm.nih.gov&Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BrandTier=RQqcwhV2J1&Q_ARCACHEVERSION=21&Q_BRANDDC=iad1 → pending (?ms, ?B)
[2026-06-20T00:57:30.212Z] GET https://siteintercept.qualtrics.com/WRSiteInterceptEngine/Asset.php?Module=CR_6FkfFWhx9tY1NeC&Version=9&Q_InterceptID=SI_0Spg2GvEznjmU3I&Q_ORIGIN=https://pmc.ncbi.nlm.nih.gov&Q_CLIENTVERSION=2.51.0&Q_CLIENTTYPE=web&Q_BrandTier=RQqcwhV2J1&Q_ARCACHEVERSION=21&Q_BRANDDC=iad1 → pending (?ms, ?B)
[2026-06-20T00:57:30.691Z] GET https://iad1.qualtrics.com/WRQualtricsSiteIntercept/Graphic.php?IM=IM_3xWqwNkIHc7cA0S → pending (?ms, ?B)
[2026-06-20T00:57:31.655Z] GET https://doi.org/10.1016/j.celrep.2026.06.047 → pending (?ms, ?B)
[2026-06-20T00:57:31.656Z] GET https://pmc.ncbi.nlm.nih.gov/stat?browserheight=720&browserwidth=1280&canscroll_x=false&canscroll_y=true&colorDepth=24&connection_effectivetype=4g&connection_type=&cookieSize=284&cookieenabled=true&eventid=0&is_browser_supported=true&jsevent=unload&jsloadtime=&jsperf_basePage=31&jsperf_connect=469&jsperf_dns=9&jsperf_navTimingNetworkMS=856&jsperf_navTimingPageMS=2794&jsperf_navTimingRedirectCount=0&jsperf_navTimingType=navigate&jsperf_navType=0&jsperf_redirectCount=0&jsperf_ttfb=347&language_code=en-US&myncbi_signed_in=false&ncbi_algorithm=&ncbi_app=cloudpmc-viewer&ncbi_db=pmc&ncbi_featured_srcdb=&ncbi_nwds=&ncbi_pcid=&ncbi_pdid=exception&ncbi_phid=5521D2D3A35E411304D2D3001554B901.m_1&ncbi_program=&ncbi_timeonpage=&ncbi_timesinceload=4239&ncbi_timesincenavstart=6671&pagename=cloudpmc-viewer%3Apmc%3Aexception%3ANONE&pinger_in_iframe=false&raw_ga=false&screenavailheight=720&screenavailwidth=1280&screenheight=720&screenwidth=1280&server=pmc.ncbi.nlm.nih.gov&sgSource=native&sgversion=0.42.0&sgversion_hotfix=0&sgversion_major=0&sgversion_minor=42&spa_index=0&unload.mutator_count=1&x.maxscroll=0&x.pagesize=10&y.maxscroll=0&y.pagesize=16 → 200 (349ms, ?B)
[2026-06-20T00:57:32.469Z] GET https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/css/bootstrap.min.css → 200 (700ms, 155845B)
[2026-06-20T00:57:32.470Z] GET https://cdn.jsdelivr.net/npm/bootstrap@5.0.2/dist/js/bootstrap.bundle.min.js → pending (?ms, ?B)
[2026-06-20T00:57:32.470Z] GET https://kit.fontawesome.com/731b8140c4.js → 403 (538ms, ?B)
[2026-06-20T00:57:32.470Z] GET https://doi.org/static/css/style.css → 200 (170ms, 42098B)
[2026-06-20T00:57:32.470Z] GET https://fonts.googleapis.com/css2?family=Roboto+Mono&family=Roboto:wght@100&display=swap → 200 (221ms, 8189B)
[2026-06-20T00:57:32.470Z] GET https://doi.org/static/images/logos/header_logo_cropped.svg → 200 (177ms, 8182B)
[2026-06-20T00:57:32.470Z] GET https://doi.org/static/images/exclamation.svg → 200 (202ms, 1661B)
[2026-06-20T00:57:32.472Z] GET https://doi.org/static/images/logos/footer_logo_cropped.svg → 200 (392ms, 8158B)
[2026-06-20T00:57:32.472Z] GET https://challenges.cloudflare.com/turnstile/v0/api.js → pending (?ms, ?B)
[2026-06-20T00:57:33.260Z] GET https://use.typekit.net/gcr6xms.css → 200 (531ms, 2014B)
[2026-06-20T00:57:33.369Z] GET https://challenges.cloudflare.com/turnstile/v0/g/f95a7f38c08f/api.js → 200 (245ms, 67081B)
[2026-06-20T00:57:33.792Z] GET https://p.typekit.net/p.css?s=1&k=gcr6xms&ht=tk&f=10884.32874&a=12362348&app=typekit&e=css → 200 (200ms, 5B)
[2026-06-20T00:57:34.021Z] GET https://use.typekit.net/af/053fc9/00000000000000003b9af1e4/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3 → pending (?ms, ?B)
[2026-06-20T00:57:34.021Z] GET https://use.typekit.net/af/9b05f3/000000000000000000013365/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3 → pending (?ms, ?B)
[2026-06-20T00:57:34.024Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/turnstile/f/ov2/av0/rch/9p38i/0x4AAAAAACiF3eA8err_tBga/light/fbE/new/normal?lang=auto → 200 (184ms, ?B)
[2026-06-20T00:57:34.278Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/cmg/1 → 200 (181ms, 86B)
[2026-06-20T00:57:34.420Z] GET blob:https://challenges.cloudflare.com/c98c385c-14c1-475c-a075-435c4155182c → pending (?ms, ?B)
[2026-06-20T00:57:34.579Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d1f53bd7df0a/MsPSEI40XaCElq3RxtaAwD6eBllK58tud9brixZTFEQ-1781917054-1.2.1.1-x1ZG7Ry8uJYrK0q7RraYIVSHjnx1sb652eTJwj381M4qjp3SleTLpeDQ3lcmL1fS → 200 (383ms, ?B)
[2026-06-20T00:57:36.077Z] GET blob:https://challenges.cloudflare.com/c9748b0d-f814-4b5f-b11f-f710c2904d2a → 200 (63ms, 291B)
[2026-06-20T00:57:36.295Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/d/a0e6d1f53bd7df0a/1781917054913/qsMsgBq3CNBFncj → 200 (177ms, 3207B)
[2026-06-20T00:57:36.475Z] GET https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/pat/a0e6d1f53bd7df0a/1781917054913/80bd462485b9f81c500641214d26a815de6eba4a468133d00517f3a421521eae/4HDuB7YIwiH7DiC → 401 (182ms, 1B)
[2026-06-20T00:57:37.201Z] GET blob:https://challenges.cloudflare.com/c9748b0d-f814-4b5f-b11f-f710c2904d2a → 200 (7ms, 291B)
[2026-06-20T00:57:37.318Z] POST https://challenges.cloudflare.com/cdn-cgi/challenge-platform/h/g/flow/ov1/3098906513:1781913627:twcvJxGEQHKrT64c27Ksm1IrYyVLoBwx2zfTyuxUXrI/a0e6d1f53bd7df0a/MsPSEI40XaCElq3RxtaAwD6eBllK58tud9brixZTFEQ-1781917054-1.2.1.1-x1ZG7Ry8uJYrK0q7RraYIVSHjnx1sb652eTJwj381M4qjp3SleTLpeDQ3lcmL1fS → 200 (499ms, 33672B)
[2026-06-20T00:57:37.812Z] GET blob:https://challenges.cloudflare.com/663ee803-1961-4438-9ad7-5ddb8f824cb7 → 200 (8ms, 291B)
[2026-06-20T00:57:39.031Z] GET https://www.sciencedirect.com/science/article/pii/S2211124726306475 → pending (?ms, ?B)
[2026-06-20T00:57:39.932Z] GET https://sdfestaticassets-us-east-1.sciencedirectassets.com/shared-assets/24/images/elsevier-non-solus-new-grey.svg → pending (?ms, ?B)
[2026-06-20T00:57:39.933Z] POST https://www.sciencedirect.com/craft/hosnb?tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t → 404 (153ms, 9B)
[2026-06-20T00:57:39.962Z] GET https://www.sciencedirect.com/cdn-cgi/challenge-platform/scripts/jsd/main.js → 302 (154ms, ?B)
[2026-06-20T00:57:40.116Z] GET https://www.sciencedirect.com/cdn-cgi/challenge-platform/h/g/scripts/jsd/f95a7f38c08f/main.js? → pending (?ms, ?B)
[2026-06-20T00:57:40.338Z] POST https://www.sciencedirect.com/cdn-cgi/challenge-platform/h/g/jsd/oneshot/f95a7f38c08f/0.5008627281012218:1781913631:MH8DEvcJ6LHgMJ0RULkAG5k28ZN5oPxm9lo8cn7mNK8/a0e6d2166b572314 → 200 (307ms, ?B)
[2026-06-20T00:57:54.716Z] GET https://doi.org/10.1016/j.celrep.2026.117561 → 302 (333ms, ?B)
[2026-06-20T00:57:55.049Z] GET https://linkinghub.elsevier.com/retrieve/pii/S221112472600639X → pending (?ms, ?B)
[2026-06-20T00:57:55.819Z] GET https://linkinghub.elsevier.com/retrieve/static/script/siteCatalystHelper.js → 200 (209ms, 2027B)
[2026-06-20T00:57:55.819Z] GET https://assets.adobedtm.com/4a848ae9611a/519188bfaff2/launch-d9c9ae460653.min.js → pending (?ms, ?B)
[2026-06-20T00:57:56.703Z] GET https://dpm.demdex.net/id?d_visid_ver=4.4.1&d_fieldgroup=MC&d_rtbd=json&d_ver=2&d_verify=1&d_orgid=4D6368F454EC41940A4C98A6%40AdobeOrg&d_nsid=0&ts=1781917076698 → 302 (181ms, ?B)
[2026-06-20T00:57:56.704Z] GET https://assets.adobedtm.com/extensions/EP6580734006504e9facd682c439318b88/AppMeasurement.min.js → 200 (159ms, 36394B)
[2026-06-20T00:57:56.709Z] GET https://assets.adobedtm.com/4a848ae9611a/519188bfaff2/2242a88a6dd9/RC65bfd873bdc04f76bfafb0ac2aa3dba4-source.min.js → 200 (157ms, 840B)
[2026-06-20T00:57:56.871Z] GET https://linkinghub.elsevier.com/retrieve/articleSelectPrefsTemp?Redirect=https%3A%2F%2Fcell.com%2Fcell-reports%2Fretrieve%2Fpii%2FS221112472600639X%3F_returnURL%3Dhttps%253A%252F%252Flinkinghub.elsevier.com%252Fretrieve%252Fpii%252FS221112472600639X%253Fshowall%253Dtrue&key=9a70d546f07c89f70a21b0d29ad2dc5c17c4ebcf → 302 (213ms, ?B)
[2026-06-20T00:57:56.884Z] GET https://dpm.demdex.net/id/rd?d_visid_ver=4.4.1&d_fieldgroup=MC&d_rtbd=json&d_ver=2&d_verify=1&d_orgid=4D6368F454EC41940A4C98A6%40AdobeOrg&d_nsid=0&ts=1781917076698 → 200 (75ms, ?B)
[2026-06-20T00:57:56.959Z] GET https://smetrics.elsevier.com/id?d_visid_ver=4.4.1&d_fieldgroup=A&mcorgid=4D6368F454EC41940A4C98A6%40AdobeOrg&mid=25433587864339057864356198545075339495&ts=1781917076957 → 200 (240ms, ?B)
[2026-06-20T00:57:57.085Z] GET https://cell.com/cell-reports/retrieve/pii/S221112472600639X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS221112472600639X%3Fshowall%3Dtrue → pending (?ms, ?B)
